id;created_at;updated_at;user_id;role_id
1;2024-03-02T10:39:15;2024-03-02T13:37:33;1;1
2;2024-03-02T23:03:01;2024-03-02T19:21:49;2;2
3;2024-03-02T08:27:31;2024-03-03T05:41:41;3;3
4;2024-03-03T04:01:31;2024-03-03T02:00:36;4;4
5;2024-03-02T17:34:25;2024-03-03T01:20:43;5;5
6;2024-03-02T10:05:19;2024-03-02T10:01:12;6;6
7;2024-03-03T01:56:01;2024-03-02T23:55:49;7;7
8;2024-03-02T22:28:15;2024-03-03T04:22:42;8;8
9;2024-03-03T02:43:00;2024-03-02T14:49:11;9;9
10;2024-03-02T17:12:30;2024-03-03T02:36:11;10;10
