id;qty;price;total_price;mrp;tax;qty_text;created_at;updated_at;product_id;user_id
1;32022;21201.37;28846.95;15737.43;29440.4;have athwart than;2024-03-03T02:26:54;2024-03-03T05:46:27;1;1
2;296;29708.88;32370.59;5316.59;20509;dissipate down;2024-03-03T00:23:30;2024-03-02T07:55:39;2;2
3;8050;10897.08;28909.85;20231.99;1941.11;overawe;2024-03-03T06:38:20;2024-03-02T08:53:00;3;3
4;12539;13314.16;15637.67;14621.8;9772.92;deeply;2024-03-03T03:07:58;2024-03-02T09:31:13;4;4
5;25074;30304.83;21550.88;23676.3;9486.5;pish;2024-03-03T03:20:05;2024-03-02T18:06:40;5;5
6;2985;16686.5;19418.12;10148.55;21784.39;magnet;2024-03-02T13:46:40;2024-03-02T14:37:51;6;6
7;15336;30783.08;29389.24;21127.62;10288.24;gadzooks infill;2024-03-02T08:45:17;2024-03-02T17:08:12;7;7
8;17840;449.98;2477.37;2891.48;16814.57;indeed;2024-03-02T10:23:43;2024-03-02T23:51:17;8;8
9;5916;1513.71;27001.68;30821.54;5992.57;nor excursion nervous;2024-03-02T10:49:22;2024-03-02T17:27:25;9;9
10;17720;775.48;5890.32;28086.35;27866.76;noisily ah;2024-03-02T15:06:52;2024-03-03T01:03:50;10;10
