id;title;created_at;updated_at;is_active
1;above of voyage;2024-03-03T02:24:26;2024-03-03T04:37:54;false
2;imprisonment barium;2024-03-03T01:28:33;2024-03-02T15:23:00;true
3;joke unpick;2024-03-02T23:15:47;2024-03-03T03:43:40;false
4;ew;2024-03-02T21:51:27;2024-03-02T20:11:03;false
5;aboard until combat;2024-03-03T01:25:44;2024-03-02T14:59:51;true
6;positive;2024-03-03T02:05:44;2024-03-03T03:21:11;false
7;rigid media;2024-03-02T08:01:07;2024-03-02T11:23:17;true
8;rudely quarterly;2024-03-03T03:11:08;2024-03-03T00:14:31;true
9;with approval;2024-03-03T00:33:01;2024-03-03T06:57:54;false
10;wheedle;2024-03-03T02:33:56;2024-03-03T03:39:23;true
