id;created_at;updated_at;order_id;user_id
1;2024-03-03T04:15:02;2024-03-02T10:08:26;1;1
2;2024-03-02T21:03:02;2024-03-03T04:58:04;2;2
3;2024-03-02T23:50:05;2024-03-02T16:59:23;3;3
4;2024-03-03T03:02:02;2024-03-02T10:30:40;4;4
5;2024-03-03T05:27:14;2024-03-03T01:07:23;5;5
6;2024-03-03T02:29:23;2024-03-02T15:06:30;6;6
7;2024-03-02T15:29:48;2024-03-03T06:53:45;7;7
8;2024-03-02T14:59:51;2024-03-02T21:32:06;8;8
9;2024-03-03T02:32:25;2024-03-02T16:06:15;9;9
10;2024-03-02T07:36:03;2024-03-03T01:42:27;10;10
