id;order_type;order_amount;price;mrp;tax;qty;selected_days_for_weekly;start_date;subscription_type;status;delivery_status;order_status;created_at;updated_at;user_id;product_id;address_id
1;31164;31353.22;10814;13783.75;22403.6;29378;oddly notarize;2024-03-02;16275;7190;5696;true;2024-03-03T04:55:03;2024-03-03T04:12:31;1;1;1
2;27517;323.14;15925.94;1690.92;31373.43;4283;adventurous committee uh-huh;2024-03-02;18471;23281;29944;false;2024-03-03T04:03:48;2024-03-02T18:46:35;2;2;2
3;9048;7976.05;28627.64;25466.78;10786.25;13705;mostly wrest unify;2024-03-02;20861;4611;3046;true;2024-03-02T11:33:44;2024-03-03T07:09:31;3;3;3
4;6486;29408.7;1928.85;31113.39;2743.9;14798;charge;2024-03-02;20818;19064;29064;false;2024-03-02T21:23:38;2024-03-02T11:35:03;4;4;4
5;732;14856.18;9707.92;1594.63;29617.16;11166;woefully behind free;2024-03-02;29789;16035;18023;false;2024-03-02T16:54:06;2024-03-03T02:12:55;5;5;5
6;32025;823.92;29198.91;18628.81;27501.41;3598;whether borrowing at;2024-03-02;17815;29284;31000;false;2024-03-02T09:15:10;2024-03-02T08:05:24;6;6;6
7;6126;18287.89;28883.85;8762.96;9939.47;27796;filter aw exhaust;2024-03-03;3490;6030;25627;true;2024-03-02T12:37:59;2024-03-02T19:50:09;7;7;7
8;20172;24800.52;21557.86;11708.99;25746.62;1220;although versus;2024-03-02;26143;7348;20441;true;2024-03-02T23:38:25;2024-03-03T06:58:54;8;8;8
9;14649;5106.33;10959.87;18987.5;12198.08;11697;total nautical;2024-03-02;10289;16035;6308;true;2024-03-03T01:15:55;2024-03-02T21:24:15;9;9;9
10;27200;25059.78;4824.97;9907.96;22043.42;3080;shabby gosh gosh;2024-03-03;30974;16418;11635;true;2024-03-03T02:52:05;2024-03-03T06:05:37;10;10;10
