id;title;qty_text;stock_qty;price;tax;mrp;offer_text;description;disclaimer;subscription;created_at;updated_at;is_active;sub_cat_id
1;intensify;extremely hobby dynamite;2077;13044.29;5739.67;12912.17;sans forenenst;recall;hidden yippee amidst;false;2024-03-02T22:18:22;2024-03-02T14:03:12;false;1
2;imperfect;hm quicker;26;29936.02;31647.93;26627.24;loaf;tender revolutionize successfully;odd decimal;false;2024-03-02T11:41:57;2024-03-02T12:31:03;true;2
3;gosh prow;sympathetically;4592;20164.96;24692.29;10488.35;top-hat underneath etch;enrage sham magnificent;beggar where;false;2024-03-03T02:19:38;2024-03-03T06:38:35;false;3
4;brisk comics;harm;22154;5519.23;25190.96;16937.84;woot;venue yahoo;smoothly;false;2024-03-02T18:19:08;2024-03-02T12:09:29;true;4
5;indeed;woot finished;28679;21295.54;8532.69;3770.9;unequaled;committee considering;among peace;false;2024-03-02T09:53:04;2024-03-02T19:49:27;true;5
6;growing lour along;preservation;23350;19234.52;28857.18;21997.78;hospitalise bottom;excellent a;sans mimosa supreme;true;2024-03-02T14:49:47;2024-03-02T22:10:38;true;6
7;ouch;yuck while;12054;8562.31;2729.4;23085.58;fooey;atop;underneath plush;false;2024-03-03T03:16:47;2024-03-03T02:31:54;false;7
8;till;dungarees stump;21516;25931.66;15980.82;19457.45;painfully;gah yowza;mostly fashion absent;true;2024-03-02T18:00:10;2024-03-02T14:29:38;false;8
9;crushing foolishly especially;ew reason;13972;25632.02;2398.91;13640.2;oh;so frozen out;common;false;2024-03-02T18:18:41;2024-03-02T23:36:59;true;9
10;oof knowledgeable vacantly;apropos querulous schematise;23522;6361.64;22510.09;12387.43;positively sidestep;jumbo;interfere;false;2024-03-02T20:03:55;2024-03-02T13:59:35;false;10
