id;date;payment_mode;created_at;updated_at;order_id;entry_user_id
1;2024-03-03;28075;2024-03-02T11:57:17;2024-03-02T19:54:40;1;1
2;2024-03-02;23188;2024-03-02T09:23:02;2024-03-03T01:39:51;2;2
3;2024-03-03;16068;2024-03-03T03:56:09;2024-03-02T12:23:53;3;3
4;2024-03-03;20485;2024-03-03T05:27:02;2024-03-02T09:40:57;4;4
5;2024-03-03;12102;2024-03-02T11:14:37;2024-03-02T13:21:36;5;5
6;2024-03-03;25519;2024-03-02T13:17:06;2024-03-02T11:45:59;6;6
7;2024-03-02;5435;2024-03-02T21:16:58;2024-03-03T07:19:03;7;7
8;2024-03-03;8011;2024-03-02T17:53:34;2024-03-02T14:42:30;8;8
9;2024-03-02;8603;2024-03-02T17:37:31;2024-03-02T21:18:19;9;9
10;2024-03-03;9692;2024-03-02T14:22:46;2024-03-02T13:59:44;10;10
