id;payment_type;order_amount;subscription_balance_amount;price;mrp;tax;qty;offer_id;selected_days_for_weekly;start_date;end_date;last_renewal_date;subscription_type;approval_status;order_status;created_at;updated_at;created_by;updated_by;user_id;product_id;address_id
1;22379;16420.39;26767.54;15494.41;13306.59;4428.77;5877;22489;psst yum;2024-03-02;2024-03-02;2024-03-03;24471;2376;true;2024-03-03T04:17:37;2024-03-02T20:33:32;vice stumble;er phooey;1;1;1
2;18362;9623.35;13339.46;15517.8;5262.3;20962.2;3861;31304;subdue ha brr;2024-03-02;2024-03-02;2024-03-02;29128;1879;true;2024-03-03T04:12:59;2024-03-02T20:00:15;arid among;enclose so from;2;2;2
3;31980;19387.66;21570.5;15909.2;12356.51;6264.76;31939;21440;turf opulent;2024-03-02;2024-03-02;2024-03-02;8054;18728;true;2024-03-02T09:02:16;2024-03-03T05:58:37;yak grip;discourse;3;3;3
4;1842;20780.22;19345.4;11169.34;27656.14;1745.15;8213;9287;identical refit;2024-03-02;2024-03-03;2024-03-02;31069;846;true;2024-03-03T04:29:54;2024-03-02T20:01:49;brief noxious convey;pinch fooey;4;4;4
5;32324;6142.85;22666.16;5860.7;18294.5;16772.31;30506;10541;sometimes zowie;2024-03-03;2024-03-03;2024-03-03;11880;9896;true;2024-03-02T14:20:02;2024-03-03T03:32:19;including;outside but and;5;5;5
6;1777;19051.19;11185.83;26037.94;4581.31;20408.89;31455;26683;under loudly and;2024-03-02;2024-03-03;2024-03-03;28383;29241;true;2024-03-03T06:16:53;2024-03-02T08:23:57;elegantly briefly corsage;duh finally;6;6;6
7;10183;27042.09;8972.31;22273.86;10809.53;28524.1;8643;27112;courageous geez whose;2024-03-02;2024-03-03;2024-03-02;16307;15113;false;2024-03-02T15:40:17;2024-03-02T15:01:06;positive beneficial;weakly ground;7;7;7
8;27231;14326.07;3980.55;1491.64;24635.26;6374.7;11356;13384;forenenst enormously urban;2024-03-02;2024-03-02;2024-03-03;11066;3356;true;2024-03-02T20:20:22;2024-03-02T20:24:30;excepting until excluding;fooey bouquet when;8;8;8
9;20651;7156.28;17161.12;31580.58;24292.79;13561.41;28672;25155;scare;2024-03-03;2024-03-02;2024-03-02;14776;10144;false;2024-03-02T21:47:47;2024-03-02T22:11:00;upliftingly swimsuit;geez fortunate immortalise;9;9;9
10;32019;13010.14;13937.52;15844.74;28541.5;5728.45;26643;29838;voluntarily;2024-03-02;2024-03-02;2024-03-03;12008;2580;false;2024-03-02T11:43:06;2024-03-02T23:19:16;closely;gadzooks throughout;10;10;10
