id;user_id;order_id;transaction_id;renewal_date;paid_renewal_amount;status;start_date;end_date;created_at;updated_at
1;26032;17609;29929;2024-03-03;22540.55;true;2024-03-03;2024-03-03;2024-03-02T10:51:57;2024-03-02T11:16:13
2;22336;17134;16340;2024-03-02;14068.31;true;2024-03-02;2024-03-02;2024-03-02T14:09:58;2024-03-03T04:47:26
3;19557;11100;2802;2024-03-03;17574.02;false;2024-03-02;2024-03-03;2024-03-02T12:56:33;2024-03-02T15:38:42
4;27170;4172;24315;2024-03-02;31000.73;true;2024-03-02;2024-03-02;2024-03-03T02:27:26;2024-03-02T17:07:18
5;27212;26600;6156;2024-03-02;2842.16;true;2024-03-03;2024-03-02;2024-03-02T11:43:38;2024-03-02T23:04:33
6;25304;3334;9660;2024-03-02;10686;false;2024-03-02;2024-03-02;2024-03-03T06:27:40;2024-03-02T14:27:52
7;8604;26234;14807;2024-03-02;11622.19;true;2024-03-02;2024-03-02;2024-03-03T00:07:52;2024-03-02T20:08:54
8;23928;25937;7212;2024-03-03;10132.98;false;2024-03-02;2024-03-03;2024-03-03T03:32:40;2024-03-02T14:18:01
9;2956;744;10440;2024-03-02;21441.97;false;2024-03-02;2024-03-03;2024-03-02T09:05:04;2024-03-02T22:24:05
10;23302;6232;22832;2024-03-02;6120.2;false;2024-03-03;2024-03-03;2024-03-02T15:35:01;2024-03-03T01:31:29
